Item_Identifier,Item_Weight,Item_Fat_Content,Item_Visibility,Item_Type,Item_MRP,Outlet_Identifier,Outlet_Establishment_Year,Outlet_Size,Outlet_Location_Type,Outlet_Type,Item_Outlet_Sales,Rating
FD3471,5.383,LF,0.054548,Breads,129.79,OUT017,2007,,Tier 2,Supermarket Type1,1349.7,3.3
NC6212,20.146,Non-Edible,0.136229,Snack Foods,42.73,OUT018,2009,Medium,Tier 3,Supermarket Type2,448.14,1.8
FD8075,,low fat,0.0,Household,137.24,OUT010,1998,Small,Tier 3,Grocery Store,180.16,3.1
NC5127,12.801,Non-Edible,0.089064,Soft Drinks,85.87,OUT035,2004,Small,Tier 2,Supermarket Type1,1298.76,4.4
FD6139,,Regular,0.155608,Health and Hygiene,135.3,OUT018,2009,Medium,Tier 3,Supermarket Type2,468.58,4.8
FD7943,18.951,low fat,0.072467,Frozen Foods,151.16,OUT049,1999,Medium,Tier 1,Supermarket Type1,770.08,4.7
DR2312,7.545,reg,0.155343,Starchy Foods,169.08,OUT035,2004,Small,Tier 2,Supermarket Type1,591.99,4.8
DR7733,12.713,LF,0.056406,Snack Foods,40.82,OUT019,1985,Small,Tier 1,Grocery Store,85.02,4.5
NC3837,11.145,Non-Edible,0.173324,Frozen Foods,49.05,OUT045,2002,,Tier 2,Supermarket Type1,383.56,4.0
FD4726,14.884,Regular,0.0,Health and Hygiene,111.64,OUT027,1985,Medium,Tier 3,Supermarket Type3,206.49,4.7
DR7754,8.27,reg,0.186236,Canned,62.12,OUT013,1987,High,Tier 3,Supermarket Type1,825.77,3.6
DR8551,20.39,Regular,0.141577,Dairy,235.21,OUT013,1987,High,Tier 3,Supermarket Type1,2907.88,4.3
DR7054,9.972,Regular,0.161142,Frozen Foods,128.85,OUT017,2007,,Tier 2,Supermarket Type1,2019.24,2.6
FD9325,6.951,reg,0.135707,Hard Drinks,196.87,OUT045,2002,,Tier 2,Supermarket Type1,3240.82,4.0
NC6787,15.257,Non-Edible,0.117758,Health and Hygiene,72.31,OUT013,1987,High,Tier 3,Supermarket Type1,836.11,4.5
NC1169,4.767,Non-Edible,0.074925,Soft Drinks,252.63,OUT045,2002,,Tier 2,Supermarket Type1,1953.08,4.6
